ID,LAT,LON,TIPOLOGIA,name,LEGALE_RA,UBICAZIONE,housenumber,street,City,CODICEFISCALE,POSTILETTO
820,40.667059,16.604351,guest_house,All'Angolo,Spada Fulvio,VIA LUCANA 64,64,Via Lucana ,Matera,null,8
821,40.637225,16.63143,guest_house,Le Dimore All'Ofra,Rimedio Maria Teresa,CONTRADA SANT'ANGELO,,Contrada Sant'angelo,Matera,null,8
822,40.659854,16.611347,guest_house,Donna Gina,Di Cuia Nicola,VIA GIUSTINO FORTUNATO 7,7,Via Giustino Fortunato ,Matera,null,4
823,40.671348,16.608568,guest_house,4u,Giove Erasmo,VIA SANTO STEFANO 41,41,Via Santo Stefano ,Matera,null,3
824,40.668761,16.606013,guest_house,Xx Settembre,Tripani Domenico Antonio Luca,VIA XX SETTEMBRE 45,45,Via Xx Settembre ,Matera,null,8
825,40.672867,16.592737,guest_house,Nonna Giulia,Bruno Antonello,VIA DANTE ALIGHIERI 67 BIS,67 BIS,Via Dante Alighieri ,Matera,null,4
826,40.671951,16.60841,guest_house,Il Peccato Originale,Azzone Giovanni,VIA SANTO STEFANO 60,60,Via Santo Stefano ,Matera,null,5
827,40.659781,16.544787,guest_house,Villa Mater B&B,Schiuma Giovanni,VIA MONTICCHIO 1,1,Via Monticchio ,Matera,null,4
828,40.672549,16.607446,guest_house,Diomede,Giannolo Annalisa,VIA GIUSEPPE GATTINI 49,49,Via Giuseppe Gattini ,Matera,null,2
829,40.681142,16.580851,guest_house,La Casa di Stefano,Orsi Stefano,VIA VIRGILIO 5 -F-,5 -F-,Via Virgilio ,Matera,null,4
830,40.661206,16.606776,guest_house,Anna Suite Room B&B,Cristiano Anna Maria,VIA VINCENZO CAROPRESO 10,10,Via Vincenzo Caropreso ,Matera,null,2
831,40.636346,16.62225,guest_house,B & B Cuoreverde Matera,Iaconis Giovanna,CONTRADELLA GIARDINETTO GRAVINELLA,,Contradella Giardinetto Gravinella,Matera,null,4
832,40.670446,16.607716,guest_house,Dimora Centrale,D'Alema Francesco,VIA PENTASUGLIA 27,27,Via Pentasuglia ,Matera,null,4
833,40.676722,16.578338,guest_house,Il Cantagallo,Rosaria Roselli,VIA TARANTO 41,41,Via Taranto ,Matera ,null,2
834,40.66258,16.6114,guest_house,Il Palazzotto del Caveoso Due,Spagnuolo Giuseppe,VIA SAN FRANCESCO PAOLO VECCHIO 2 E 3,2 E 3,Via San Francesco Paolo Vecchio ,Matera,null,2
835,40.66784,16.61056,guest_house,Gradelle San Nicola,Festa Luca,GRADELLE SAN NICOLA DEL SOLE 13/15,13/15,Gradelle San Nicola del Sole ,Matera,null,4
836,,,guest_house,B&B Il Cucu',Commisso Elisabetta,VIA CASALNUOVO 227,227,Via Casalnuovo ,Matera,null,5
